time,rpm,mph,coolant_temp,oil_pressure,voltage,fuel_level,mpg,odometer,trip,range,runtime,illumination,left_turn_signal,right_turn_signal,hazards,high_beam,roof_down
03:55:20.155364 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:20.323291 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:20.493873 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:20.662614 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:20.838193 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:21.034444 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:21.224103 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:21.459999 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:21.666342 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:21.852522 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:22.038467 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:22.214025 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:22.447005 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:22.694165 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:23.031610 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:23.294195 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:23.449439 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:23.609290 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:23.829760 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:24.062088 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:24.213761 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:24.356617 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:24.502563 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:24.656179 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:24.796368 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:24.991684 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:25.166326 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:25.356075 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:25.540389 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:25.676799 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:25.836719 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:26.015927 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:26.179280 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:26.375053 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:26.545316 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:26.718635 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:26.895313 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:27.051959 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:27.229641 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:27.410070 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
03:55:27.610140 PM,3242,30,86,32,13.8,45,14.2,147994,54,102,200,False,False,False,False,True,True
